"avgServedBlocksDl:vector SingleCell_withSecondaryGnb.masterEnb.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - SingleCell-CBR-DL-0-20211017-18:28:54-3173)",,"avgServedBlocksDl:vector SingleCell_withSecondaryGnb.secondaryGnb.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - SingleCell-CBR-DL-0-20211017-18:28:54-3173)",
0.134,3,0.134,2
0.135,2,0.135,1
0.136,3,0.136,1
0.137,4,0.137,0
0.138,0,0.138,0
0.139,1,0.139,2
0.14,4,0.14,0
0.141,1,0.141,0
0.142,0,0.142,0
0.143,1,0.143,0
0.144,0,0.144,0
0.145,0,0.145,1
0.146,0,0.146,0
0.147,0,0.147,0
0.148,0,0.148,0
0.149,0,0.149,0
0.15,0,0.15,0
0.151,1,0.151,0
0.152,0,0.152,3
0.153,1,0.153,2
0.154,3,0.154,2
0.155,2,0.155,1
0.156,3,0.156,1
0.157,4,0.157,0
0.158,0,0.158,0
0.159,1,0.159,2
0.16,4,0.16,0
0.161,1,0.161,0
0.162,0,0.162,0
0.163,0,0.163,0
0.164,0,0.164,0
0.165,0,0.165,0
0.166,0,0.166,0
0.167,0,0.167,0
0.168,0,0.168,0
0.169,0,0.169,0
0.17,0,0.17,0
0.171,1,0.171,0
0.172,0,0.172,3
0.173,1,0.173,2
0.174,3,0.174,2
0.175,2,0.175,1
0.176,3,0.176,1
0.177,4,0.177,0
0.178,0,0.178,0
0.179,1,0.179,2
0.18,4,0.18,0
0.181,1,0.181,0
0.182,0,0.182,0
0.183,0,0.183,0
0.184,0,0.184,0
0.185,0,0.185,0
0.186,0,0.186,0
0.187,0,0.187,0
0.188,0,0.188,0
0.189,0,0.189,0
0.19,0,0.19,0
0.191,1,0.191,0
0.192,0,0.192,3
0.193,1,0.193,2
0.194,3,0.194,2
0.195,2,0.195,1
0.196,3,0.196,1
0.197,4,0.197,0
0.198,0,0.198,0
0.199,1,0.199,2
0.2,4,0.2,0
0.201,1,0.201,0
0.202,0,0.202,0
0.203,0,0.203,0
0.204,0,0.204,0
0.205,0,0.205,1
0.206,0,0.206,0
0.207,0,0.207,0
0.208,0,0.208,0
0.209,0,0.209,0
0.21,0,0.21,0
0.211,1,0.211,0
0.212,0,0.212,3
0.213,1,0.213,2
0.214,3,0.214,2
0.215,2,0.215,1
0.216,3,0.216,1
0.217,4,0.217,0
0.218,0,0.218,1
0.219,1,0.219,2
0.22,4,0.22,1
0.221,1,0.221,0
0.222,0,0.222,0
0.223,1,0.223,0
0.224,0,0.224,0
0.225,0,0.225,1
0.226,0,0.226,1
0.227,0,0.227,0
0.228,0,0.228,0
0.229,0,0.229,0
0.23,0,0.23,0
0.231,1,0.231,0
0.232,0,0.232,3
0.233,1,0.233,2
0.234,3,0.234,2
0.235,2,0.235,1
0.236,3,0.236,1
0.237,4,0.237,0
0.238,0,0.238,0
0.239,1,0.239,2
0.24,4,0.24,0
0.241,1,0.241,0
0.242,0,0.242,0
0.243,0,0.243,0
0.244,0,0.244,0
0.245,0,0.245,0
0.246,0,0.246,0
0.247,0,0.247,0
0.248,0,0.248,0
0.249,0,0.249,0
0.25,0,0.25,0
0.251,1,0.251,0
0.252,0,0.252,3
0.253,1,0.253,2
0.254,3,0.254,2
0.255,2,0.255,1
0.256,3,0.256,1
0.257,4,0.257,0
0.258,0,0.258,0
0.259,1,0.259,3
0.26,4,0.26,0
0.261,1,0.261,0
0.262,0,0.262,0
0.263,0,0.263,0
0.264,0,0.264,0
0.265,0,0.265,0
0.266,0,0.266,0
0.267,0,0.267,0
0.268,0,0.268,0
0.269,0,0.269,0
0.27,0,0.27,0
0.271,1,0.271,0
0.272,0,0.272,3
0.273,1,0.273,2
0.274,3,0.274,2
0.275,2,0.275,1
0.276,3,0.276,1
0.277,4,0.277,0
0.278,0,0.278,0
0.279,1,0.279,2
0.28,4,0.28,0
0.281,1,0.281,0
0.282,0,0.282,0
0.283,0,0.283,0
0.284,0,0.284,0
0.285,0,0.285,0
0.286,0,0.286,0
0.287,0,0.287,0
0.288,0,0.288,0
0.289,0,0.289,0
0.29,0,0.29,0
0.291,1,0.291,0
0.292,0,0.292,3
0.293,1,0.293,2
0.294,3,0.294,2
0.295,2,0.295,1
0.296,3,0.296,1
0.297,4,0.297,0
0.298,0,0.298,0
0.299,1,0.299,2
0.3,4,0.3,0
0.301,1,0.301,0
0.302,0,0.302,0
0.303,0,0.303,0
0.304,0,0.304,0
0.305,0,0.305,1
0.306,0,0.306,0
0.307,0,0.307,0
0.308,0,0.308,0
0.309,0,0.309,0
0.31,0,0.31,0
0.311,1,0.311,0
0.312,0,0.312,3
0.313,1,0.313,2
0.314,3,0.314,2
0.315,2,0.315,1
0.316,3,0.316,1
0.317,4,0.317,0
0.318,0,0.318,0
0.319,1,0.319,2
0.32,4,0.32,0
0.321,1,0.321,0
0.322,0,0.322,0
0.323,0,0.323,0
0.324,0,0.324,0
0.325,0,0.325,0
0.326,0,0.326,0
0.327,0,0.327,0
0.328,0,0.328,0
0.329,0,0.329,0
0.33,0,0.33,0
0.331,1,0.331,0
0.332,0,0.332,3
0.333,1,0.333,2
0.334,3,0.334,2
0.335,1,0.335,1
0.336,2,0.336,1
0.337,3,0.337,0
0.338,0,0.338,0
0.339,1,0.339,2
0.34,4,0.34,0
0.341,1,0.341,0
0.342,0,0.342,0
0.343,0,0.343,0
0.344,0,0.344,0
0.345,0,0.345,1
0.346,0,0.346,0
0.347,0,0.347,0
0.348,0,0.348,0
0.349,0,0.349,0
0.35,0,0.35,0
0.351,1,0.351,0
0.352,0,0.352,3
0.353,1,0.353,2
0.354,3,0.354,2
0.355,2,0.355,1
0.356,3,0.356,1
0.357,4,0.357,0
0.358,0,0.358,0
0.359,1,0.359,2
0.36,4,0.36,0
0.361,1,0.361,0
0.362,0,0.362,0
0.363,0,0.363,0
0.364,0,0.364,0
0.365,0,0.365,1
0.366,0,0.366,0
0.367,0,0.367,0
0.368,0,0.368,0
0.369,0,0.369,0
0.37,0,0.37,0
0.371,1,0.371,0
0.372,0,0.372,3
0.373,1,0.373,2
0.374,3,0.374,2
0.375,2,0.375,1
0.376,3,0.376,1
0.377,4,0.377,0
0.378,0,0.378,0
0.379,1,0.379,2
0.38,4,0.38,0
0.381,1,0.381,0
0.382,0,0.382,0
0.383,1,0.383,0
0.384,0,0.384,0
0.385,0,0.385,0
0.386,0,0.386,0
0.387,0,0.387,0
0.388,0,0.388,0
0.389,0,0.389,0
0.39,0,0.39,0
0.391,1,0.391,0
0.392,0,0.392,3
0.393,1,0.393,2
0.394,3,0.394,2
0.395,2,0.395,1
0.396,3,0.396,1
0.397,4,0.397,0
0.398,0,0.398,0
0.399,1,0.399,2
0.4,4,0.4,0
0.401,1,0.401,0
0.402,0,0.402,0
0.403,0,0.403,0
0.404,0,0.404,0
0.405,0,0.405,1
0.406,0,0.406,0
0.407,0,0.407,0
0.408,0,0.408,0
0.409,0,0.409,0
0.41,0,0.41,0
0.411,1,0.411,0
0.412,0,0.412,3
0.413,1,0.413,2
0.414,3,0.414,2
0.415,2,0.415,1
0.416,3,0.416,1
0.417,4,0.417,0
0.418,0,0.418,0
0.419,1,0.419,2
0.42,4,0.42,0
0.421,1,0.421,0
0.422,0,0.422,0
0.423,1,0.423,0
0.424,0,0.424,0
0.425,0,0.425,1
0.426,0,0.426,0
0.427,0,0.427,0
0.428,0,0.428,0
0.429,0,0.429,0
0.43,0,0.43,0
0.431,1,0.431,0
0.432,0,0.432,3
0.433,1,0.433,2
0.434,3,0.434,2
0.435,2,0.435,1
0.436,3,0.436,1
0.437,4,0.437,0
0.438,0,0.438,0
0.439,1,0.439,2
0.44,4,0.44,0
0.441,1,0.441,0
0.442,0,0.442,0
0.443,0,0.443,0
0.444,0,0.444,0
0.445,0,0.445,1
0.446,0,0.446,0
0.447,0,0.447,0
0.448,0,0.448,0
0.449,0,0.449,0
0.45,0,0.45,0
0.451,1,0.451,0
0.452,0,0.452,3
0.453,1,0.453,2
0.454,3,0.454,2
0.455,2,0.455,1
0.456,3,0.456,1
0.457,4,0.457,0
0.458,0,0.458,0
0.459,1,0.459,2
0.46,4,0.46,0
0.461,1,0.461,0
0.462,0,0.462,0
0.463,0,0.463,0
0.464,0,0.464,0
0.465,0,0.465,0
0.466,0,0.466,0
0.467,0,0.467,0
0.468,0,0.468,0
0.469,0,0.469,0
0.47,0,0.47,0
0.471,1,0.471,0
0.472,0,0.472,3
0.473,1,0.473,2
0.474,3,0.474,2
0.475,2,0.475,1
0.476,3,0.476,1
0.477,4,0.477,0
0.478,0,0.478,0
0.479,1,0.479,2
0.48,4,0.48,0
0.481,1,0.481,0
0.482,0,0.482,0
0.483,0,0.483,0
0.484,0,0.484,0
0.485,0,0.485,0
0.486,0,0.486,0
0.487,0,0.487,0
0.488,0,0.488,0
0.489,0,0.489,0
0.49,0,0.49,0
0.491,1,0.491,0
0.492,0,0.492,3
0.493,1,0.493,2
0.494,3,0.494,2
0.495,2,0.495,1
0.496,3,0.496,1
0.497,4,0.497,0
0.498,0,0.498,0
0.499,1,0.499,2
0.5,4,0.5,0
0.501,1,0.501,0
0.502,0,0.502,0
0.503,0,0.503,0
0.504,0,0.504,0
0.505,0,0.505,1
0.506,0,0.506,0
0.507,0,0.507,0
0.508,0,0.508,0
0.509,0,0.509,0
0.51,0,0.51,0
0.511,1,0.511,0
0.512,0,0.512,3
0.513,1,0.513,2
0.514,3,0.514,2
0.515,2,0.515,1
0.516,3,0.516,1
0.517,4,0.517,0
0.518,0,0.518,0
0.519,1,0.519,2
0.52,4,0.52,0
0.521,0,0.521,0
0.522,0,0.522,0
0.523,0,0.523,0
0.524,0,0.524,0
0.525,0,0.525,0
0.526,0,0.526,0
0.527,0,0.527,0
0.528,0,0.528,0
0.529,0,0.529,0
0.53,0,0.53,0
0.531,1,0.531,0
0.532,0,0.532,3
0.533,1,0.533,2
0.534,3,0.534,2
0.535,2,0.535,1
0.536,3,0.536,1
0.537,4,0.537,0
0.538,0,0.538,0
0.539,1,0.539,2
0.54,4,0.54,0
0.541,0,0.541,0
0.542,0,0.542,0
0.543,1,0.543,0
0.544,0,0.544,0
0.545,0,0.545,1
0.546,0,0.546,0
0.547,0,0.547,0
0.548,0,0.548,0
0.549,0,0.549,0
0.55,0,0.55,0
0.551,1,0.551,0
0.552,0,0.552,3
0.553,1,0.553,2
0.554,3,0.554,2
0.555,2,0.555,1
0.556,3,0.556,1
0.557,4,0.557,0
0.558,0,0.558,0
0.559,1,0.559,2
0.56,4,0.56,0
0.561,0,0.561,0
0.562,0,0.562,0
0.563,1,0.563,0
0.564,0,0.564,0
0.565,0,0.565,0
0.566,0,0.566,0
0.567,0,0.567,0
0.568,0,0.568,0
0.569,0,0.569,0
0.57,0,0.57,0
0.571,1,0.571,0
0.572,0,0.572,3
0.573,1,0.573,2
0.574,3,0.574,2
0.575,2,0.575,1
0.576,3,0.576,1
0.577,4,0.577,0
0.578,0,0.578,0
0.579,1,0.579,2
0.58,4,0.58,0
0.581,0,0.581,0
0.582,0,0.582,0
0.583,0,0.583,0
0.584,0,0.584,0
0.585,0,0.585,1
0.586,0,0.586,0
0.587,0,0.587,0
0.588,0,0.588,0
0.589,0,0.589,0
0.59,0,0.59,0
0.591,1,0.591,0
0.592,0,0.592,3
0.593,1,0.593,2
0.594,3,0.594,2
0.595,2,0.595,1
0.596,3,0.596,1
0.597,4,0.597,0
0.598,0,0.598,0
0.599,1,0.599,2
0.6,4,0.6,0
0.601,0,0.601,0
0.602,0,0.602,0
0.603,1,0.603,0
0.604,0,0.604,0
0.605,0,0.605,1
0.606,0,0.606,0
0.607,0,0.607,0
0.608,0,0.608,0
0.609,0,0.609,0
0.61,0,0.61,0
0.611,1,0.611,0
0.612,0,0.612,3
0.613,1,0.613,2
0.614,3,0.614,2
0.615,2,0.615,1
0.616,3,0.616,1
0.617,3,0.617,0
0.618,0,0.618,0
0.619,1,0.619,2
0.62,4,0.62,0
0.621,0,0.621,0
0.622,0,0.622,0
0.623,0,0.623,0
0.624,0,0.624,0
0.625,0,0.625,1
0.626,0,0.626,0
0.627,0,0.627,0
0.628,0,0.628,0
0.629,0,0.629,0
0.63,0,0.63,0
0.631,1,0.631,0
0.632,0,0.632,3
0.633,1,0.633,2
0.634,3,0.634,2
0.635,2,0.635,1
0.636,3,0.636,1
0.637,3,0.637,0
0.638,0,0.638,0
0.639,1,0.639,2
0.64,4,0.64,0
0.641,0,0.641,0
0.642,0,0.642,0
0.643,0,0.643,0
0.644,0,0.644,0
0.645,0,0.645,0
0.646,0,0.646,0
0.647,0,0.647,0
0.648,0,0.648,0
0.649,0,0.649,0
0.65,0,0.65,0
0.651,1,0.651,0
0.652,0,0.652,3
0.653,1,0.653,2
0.654,3,0.654,2
0.655,2,0.655,1
0.656,3,0.656,1
0.657,3,0.657,0
0.658,0,0.658,0
0.659,1,0.659,2
0.66,4,0.66,0
0.661,0,0.661,0
0.662,0,0.662,0
0.663,0,0.663,0
0.664,0,0.664,0
0.665,0,0.665,1
0.666,0,0.666,0
0.667,0,0.667,0
0.668,0,0.668,0
0.669,0,0.669,0
0.67,0,0.67,0
0.671,1,0.671,0
0.672,0,0.672,3
0.673,1,0.673,2
0.674,3,0.674,2
0.675,2,0.675,1
0.676,3,0.676,1
0.677,3,0.677,0
0.678,0,0.678,0
0.679,1,0.679,2
0.68,4,0.68,0
0.681,0,0.681,0
0.682,0,0.682,0
0.683,0,0.683,0
0.684,0,0.684,0
0.685,0,0.685,1
0.686,0,0.686,0
0.687,0,0.687,0
0.688,0,0.688,0
0.689,0,0.689,0
0.69,0,0.69,0
0.691,1,0.691,0
0.692,0,0.692,3
0.693,1,0.693,2
0.694,3,0.694,2
0.695,2,0.695,1
0.696,3,0.696,1
0.697,3,0.697,0
0.698,0,0.698,0
0.699,1,0.699,3
0.7,4,0.7,0
0.701,0,0.701,0
0.702,0,0.702,0
0.703,0,0.703,0
0.704,0,0.704,0
0.705,0,0.705,1
0.706,0,0.706,0
0.707,0,0.707,0
0.708,0,0.708,0
0.709,0,0.709,0
0.71,0,0.71,0
0.711,1,0.711,0
0.712,0,0.712,3
0.713,1,0.713,2
0.714,3,0.714,2
0.715,2,0.715,1
0.716,3,0.716,1
0.717,3,0.717,0
0.718,0,0.718,0
0.719,1,0.719,2
0.72,4,0.72,0
0.721,0,0.721,0
0.722,0,0.722,0
0.723,0,0.723,0
0.724,0,0.724,0
0.725,0,0.725,1
0.726,0,0.726,0
0.727,0,0.727,0
0.728,0,0.728,0
0.729,0,0.729,0
0.73,0,0.73,0
0.731,1,0.731,0
0.732,0,0.732,3
0.733,1,0.733,2
0.734,3,0.734,2
0.735,2,0.735,1
0.736,3,0.736,1
0.737,3,0.737,0
0.738,0,0.738,0
0.739,1,0.739,2
0.74,4,0.74,0
0.741,0,0.741,0
0.742,0,0.742,0
0.743,0,0.743,0
0.744,0,0.744,0
0.745,0,0.745,1
0.746,0,0.746,0
0.747,0,0.747,0
0.748,0,0.748,0
0.749,0,0.749,0
0.75,0,0.75,0
0.751,1,0.751,0
0.752,0,0.752,3
0.753,1,0.753,2
0.754,3,0.754,2
0.755,2,0.755,1
0.756,3,0.756,1
0.757,3,0.757,0
0.758,0,0.758,0
0.759,1,0.759,2
0.76,4,0.76,0
0.761,0,0.761,0
0.762,0,0.762,0
0.763,0,0.763,0
0.764,0,0.764,0
0.765,0,0.765,1
0.766,0,0.766,0
0.767,0,0.767,0
0.768,0,0.768,0
0.769,0,0.769,0
0.77,0,0.77,0
0.771,1,0.771,0
0.772,0,0.772,3
0.773,1,0.773,2
0.774,3,0.774,2
0.775,2,0.775,1
0.776,3,0.776,1
0.777,3,0.777,0
0.778,0,0.778,0
0.779,1,0.779,3
0.78,4,0.78,0
0.781,0,0.781,0
0.782,0,0.782,0
0.783,0,0.783,0
0.784,0,0.784,0
0.785,0,0.785,1
0.786,0,0.786,0
0.787,0,0.787,0
0.788,0,0.788,0
0.789,0,0.789,0
0.79,0,0.79,0
0.791,1,0.791,0
0.792,0,0.792,3
0.793,1,0.793,2
0.794,3,0.794,2
0.795,2,0.795,1
0.796,3,0.796,1
0.797,3,0.797,0
0.798,0,0.798,0
0.799,1,0.799,2
0.8,4,0.8,0
0.801,0,0.801,0
0.802,0,0.802,0
0.803,0,0.803,0
0.804,0,0.804,0
0.805,0,0.805,0
0.806,0,0.806,0
0.807,0,0.807,0
0.808,0,0.808,0
0.809,0,0.809,0
0.81,0,0.81,0
0.811,1,0.811,0
0.812,0,0.812,3
0.813,1,0.813,2
0.814,4,0.814,2
0.815,2,0.815,1
0.816,3,0.816,1
0.817,2,0.817,0
0.818,0,0.818,1
0.819,2,0.819,2
0.82,5,0.82,0
0.821,0,0.821,0
0.822,0,0.822,0
0.823,0,0.823,0
0.824,0,0.824,0
0.825,0,0.825,1
0.826,0,0.826,0
0.827,0,0.827,0
0.828,0,0.828,0
0.829,0,0.829,0
0.83,0,0.83,0
0.831,1,0.831,0
0.832,0,0.832,3
0.833,1,0.833,2
0.834,4,0.834,2
0.835,1,0.835,1
0.836,3,0.836,1
0.837,2,0.837,0
0.838,0,0.838,0
0.839,1,0.839,2
0.84,5,0.84,1
0.841,0,0.841,0
0.842,0,0.842,0
0.843,0,0.843,0
0.844,0,0.844,0
0.845,0,0.845,1
0.846,0,0.846,0
0.847,0,0.847,0
0.848,0,0.848,0
0.849,0,0.849,0
0.85,0,0.85,0
0.851,1,0.851,0
0.852,0,0.852,3
0.853,1,0.853,2
0.854,4,0.854,2
0.855,1,0.855,1
0.856,3,0.856,1
0.857,2,0.857,0
0.858,0,0.858,0
0.859,1,0.859,2
0.86,4,0.86,1
0.861,0,0.861,0
0.862,0,0.862,0
0.863,0,0.863,0
0.864,0,0.864,0
0.865,0,0.865,1
0.866,0,0.866,1
0.867,0,0.867,0
0.868,0,0.868,0
0.869,0,0.869,0
0.87,0,0.87,0
0.871,1,0.871,0
0.872,0,0.872,3
0.873,1,0.873,2
0.874,4,0.874,2
0.875,1,0.875,1
0.876,3,0.876,1
0.877,2,0.877,0
0.878,0,0.878,0
0.879,1,0.879,2
0.88,5,0.88,1
0.881,0,0.881,0
0.882,0,0.882,0
0.883,0,0.883,0
0.884,0,0.884,0
0.885,0,0.885,1
0.886,0,0.886,0
0.887,0,0.887,0
0.888,0,0.888,0
0.889,0,0.889,0
0.89,0,0.89,0
0.891,1,0.891,0
0.892,0,0.892,3
0.893,1,0.893,2
0.894,4,0.894,2
0.895,1,0.895,1
0.896,3,0.896,1
0.897,2,0.897,0
0.898,0,0.898,0
0.899,1,0.899,2
0.9,5,0.9,1
0.901,0,0.901,0
0.902,0,0.902,0
0.903,0,0.903,0
0.904,0,0.904,0
0.905,0,0.905,1
0.906,0,0.906,0
0.907,0,0.907,0
0.908,0,0.908,0
0.909,0,0.909,0
0.91,0,0.91,0
0.911,1,0.911,0
0.912,0,0.912,3
0.913,1,0.913,2
0.914,4,0.914,2
0.915,1,0.915,1
0.916,3,0.916,1
0.917,2,0.917,0
0.918,0,0.918,0
0.919,1,0.919,2
0.92,5,0.92,1
0.921,0,0.921,0
0.922,0,0.922,0
0.923,0,0.923,0
0.924,0,0.924,0
0.925,0,0.925,1
0.926,1,0.926,0
0.927,0,0.927,0
0.928,0,0.928,0
0.929,0,0.929,0
0.93,0,0.93,0
0.931,1,0.931,0
0.932,0,0.932,3
0.933,1,0.933,2
0.934,4,0.934,2
0.935,1,0.935,1
0.936,3,0.936,1
0.937,2,0.937,0
0.938,0,0.938,0
0.939,1,0.939,2
0.94,4,0.94,1
0.941,0,0.941,0
0.942,0,0.942,0
0.943,0,0.943,0
0.944,0,0.944,0
0.945,0,0.945,1
0.946,0,0.946,1
0.947,0,0.947,0
0.948,0,0.948,0
0.949,0,0.949,0
0.95,0,0.95,0
0.951,1,0.951,0
0.952,0,0.952,3
0.953,1,0.953,2
0.954,4,0.954,2
0.955,1,0.955,1
0.956,3,0.956,1
0.957,2,0.957,0
0.958,0,0.958,0
0.959,1,0.959,2
0.96,5,0.96,1
0.961,0,0.961,0
0.962,0,0.962,0
0.963,0,0.963,0
0.964,0,0.964,0
0.965,0,0.965,1
0.966,0,0.966,0
0.967,0,0.967,0
0.968,0,0.968,0
0.969,0,0.969,0
0.97,0,0.97,0
0.971,1,0.971,0
0.972,0,0.972,3
0.973,1,0.973,2
0.974,4,0.974,2
0.975,1,0.975,1
0.976,3,0.976,1
0.977,2,0.977,0
0.978,0,0.978,0
0.979,1,0.979,2
0.98,5,0.98,1
0.981,0,0.981,0
0.982,0,0.982,0
0.983,0,0.983,0
0.984,0,0.984,0
0.985,0,0.985,1
0.986,0,0.986,1
0.987,0,0.987,0
0.988,0,0.988,0
0.989,0,0.989,0
0.99,0,0.99,0
0.991,1,0.991,0
0.992,0,0.992,3
0.993,1,0.993,2
0.994,4,0.994,2
0.995,1,0.995,1
0.996,3,0.996,1
0.997,2,0.997,0
0.998,0,0.998,0
0.999,1,0.999,2
1,5,1,1
1.001,0,1.001,0
1.002,0,1.002,0
1.003,0,1.003,0
1.004,0,1.004,0
1.005,0,1.005,1
1.006,0,1.006,1
1.007,0,1.007,0
1.008,0,1.008,0
1.009,0,1.009,0
1.01,0,1.01,0
1.011,1,1.011,0
1.012,0,1.012,3
1.013,1,1.013,2
1.014,4,1.014,2
1.015,1,1.015,1
1.016,3,1.016,1
1.017,2,1.017,0
1.018,0,1.018,0
1.019,1,1.019,2
1.02,4,1.02,1
1.021,1,1.021,0
1.022,0,1.022,0
1.023,0,1.023,0
1.024,0,1.024,0
1.025,1,1.025,1
1.026,0,1.026,1
1.027,0,1.027,0
1.028,0,1.028,0
1.029,0,1.029,0
1.03,0,1.03,0
1.031,1,1.031,1
1.032,0,1.032,3
1.033,1,1.033,2
1.034,4,1.034,2
1.035,1,1.035,1
1.036,3,1.036,1
1.037,2,1.037,0
1.038,0,1.038,0
1.039,1,1.039,2
1.04,4,1.04,1
1.041,1,1.041,0
1.042,0,1.042,0
1.043,1,1.043,0
1.044,0,1.044,0
1.045,1,1.045,1
1.046,0,1.046,0
1.047,0,1.047,0
1.048,0,1.048,0
1.049,0,1.049,0
1.05,0,1.05,0
1.051,1,1.051,1
1.052,0,1.052,3
1.053,1,1.053,2
1.054,4,1.054,2
1.055,1,1.055,1
1.056,3,1.056,1
1.057,2,1.057,0
1.058,0,1.058,0
1.059,1,1.059,2
1.06,4,1.06,0
1.061,1,1.061,0
1.062,0,1.062,0
1.063,1,1.063,0
1.064,0,1.064,0
1.065,0,1.065,1
1.066,0,1.066,0
1.067,0,1.067,0
1.068,0,1.068,0
1.069,0,1.069,0
1.07,0,1.07,0
1.071,1,1.071,0
1.072,0,1.072,3
1.073,1,1.073,2
1.074,4,1.074,2
1.075,1,1.075,1
1.076,3,1.076,1
1.077,2,1.077,0
1.078,0,1.078,0
1.079,1,1.079,2
1.08,4,1.08,0
1.081,1,1.081,0
1.082,0,1.082,0
1.083,0,1.083,0
1.084,0,1.084,0
1.085,0,1.085,1
1.086,0,1.086,0
1.087,0,1.087,0
1.088,0,1.088,0
1.089,0,1.089,0
1.09,0,1.09,0
1.091,1,1.091,0
1.092,0,1.092,3
1.093,1,1.093,2
1.094,4,1.094,2
1.095,1,1.095,1
1.096,3,1.096,1
1.097,2,1.097,0
1.098,0,1.098,0
1.099,1,1.099,2
1.1,4,1.1,1
1.101,1,1.101,0
1.102,0,1.102,0
1.103,0,1.103,0
1.104,0,1.104,0
1.105,0,1.105,1
1.106,0,1.106,0
1.107,0,1.107,0
1.108,0,1.108,0
1.109,0,1.109,0
1.11,0,1.11,0
1.111,1,1.111,0
1.112,0,1.112,3
1.113,1,1.113,2
1.114,4,1.114,2
1.115,1,1.115,1
