Simulation time (in s),avgServedBlocksUl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by enb in uplink with total reosurce blocks=50.,Simulation time (in s),avgServedBlocksUl-SingleCell_withSecondaryGnb-secondaryGnb #comment:- Number of resource block (values in blocks) by gnb in uplink with total reosurce blocks=50.
0.146,2,0.146,2
0.147,0,0.147,1
0.148,3,0.148,1
0.149,0,0.149,1
0.15,2,0.15,0
0.151,3,0.151,0
0.152,0,0.152,3
0.153,0,0.153,0
0.154,3,0.154,3
0.155,0,0.155,0
0.156,0,0.156,0
0.157,0,0.157,0
0.158,0,0.158,0
0.159,0,0.159,0
0.16,0,0.16,2
0.161,0,0.161,0
0.162,0,0.162,1
0.163,1,0.163,1
0.164,0,0.164,0
0.165,1,0.165,0
0.166,2,0.166,2
0.167,0,0.167,1
0.168,2,0.168,1
0.169,2,0.169,1
0.17,2,0.17,0
0.171,2,0.171,0
0.172,0,0.172,1
0.173,1,0.173,0
0.174,1,0.174,2
0.175,0,0.175,0
0.176,0,0.176,0
0.177,0,0.177,0
0.178,0,0.178,0
0.179,1,0.179,0
0.18,0,0.18,1
0.181,0,0.181,0
0.182,0,0.182,1
0.183,1,0.183,1
0.184,0,0.184,0
0.185,6,0.185,0
0.186,2,0.186,2
0.187,0,0.187,1
0.188,3,0.188,1
0.189,1,0.189,1
0.19,2,0.19,0
0.191,4,0.191,0
0.192,0,0.192,2
0.193,0,0.193,0
0.194,1,0.194,2
0.195,0,0.195,0
0.196,1,0.196,0
0.197,0,0.197,0
0.198,0,0.198,0
0.199,0,0.199,0
0.2,0,0.2,0
0.201,0,0.201,0
0.202,4,0.202,1
0.203,1,0.203,1
0.204,0,0.204,0
0.205,1,0.205,0
0.206,2,0.206,2
0.207,0,0.207,1
0.208,2,0.208,2
0.209,1,0.209,1
0.21,2,0.21,0
0.211,1,0.211,0
0.212,0,0.212,2
0.213,0,0.213,0
0.214,0,0.214,3
0.215,0,0.215,1
0.216,0,0.216,0
0.217,0,0.217,0
0.218,0,0.218,0
0.219,0,0.219,0
0.22,0,0.22,0
0.221,0,0.221,0
0.222,0,0.222,1
0.223,1,0.223,1
0.224,0,0.224,0
0.225,1,0.225,0
0.226,2,0.226,2
0.227,0,0.227,1
0.228,2,0.228,1
0.229,0,0.229,1
0.23,2,0.23,0
0.231,1,0.231,0
0.232,0,0.232,3
0.233,0,0.233,0
0.234,0,0.234,3
0.235,0,0.235,1
0.236,0,0.236,0
0.237,0,0.237,0
0.238,0,0.238,0
0.239,0,0.239,0
0.24,0,0.24,0
0.241,0,0.241,0
0.242,1,0.242,1
0.243,1,0.243,1
0.244,0,0.244,0
0.245,1,0.245,0
0.246,2,0.246,2
0.247,1,0.247,1
0.248,2,0.248,1
0.249,0,0.249,1
0.25,2,0.25,0
0.251,2,0.251,0
0.252,0,0.252,3
0.253,1,0.253,1
0.254,0,0.254,3
0.255,0,0.255,0
0.256,0,0.256,0
0.257,0,0.257,0
0.258,0,0.258,0
0.259,0,0.259,0
0.26,0,0.26,0
0.261,0,0.261,0
0.262,0,0.262,1
0.263,1,0.263,1
0.264,0,0.264,0
0.265,1,0.265,0
0.266,2,0.266,2
0.267,0,0.267,1
0.268,3,0.268,1
0.269,0,0.269,1
0.27,2,0.27,0
0.271,3,0.271,0
0.272,0,0.272,3
0.273,0,0.273,0
0.274,0,0.274,3
0.275,0,0.275,0
0.276,0,0.276,0
0.277,0,0.277,0
0.278,0,0.278,0
0.279,0,0.279,0
0.28,0,0.28,0
0.281,0,0.281,0
0.282,0,0.282,1
0.283,1,0.283,1
0.284,0,0.284,0
0.285,1,0.285,0
0.286,2,0.286,2
0.287,0,0.287,1
0.288,2,0.288,1
0.289,0,0.289,1
0.29,2,0.29,0
0.291,2,0.291,0
0.292,1,0.292,3
0.293,0,0.293,0
0.294,0,0.294,3
0.295,0,0.295,0
0.296,0,0.296,0
0.297,0,0.297,0
0.298,0,0.298,1
0.299,0,0.299,0
0.3,0,0.3,0
0.301,0,0.301,0
0.302,0,0.302,1
0.303,1,0.303,1
0.304,0,0.304,0
0.305,1,0.305,0
0.306,2,0.306,2
0.307,0,0.307,1
0.308,2,0.308,1
0.309,0,0.309,1
0.31,2,0.31,0
0.311,1,0.311,0
0.312,0,0.312,3
0.313,0,0.313,0
0.314,0,0.314,3
0.315,0,0.315,0
0.316,0,0.316,0
0.317,0,0.317,0
0.318,0,0.318,0
0.319,0,0.319,0
0.32,0,0.32,0
0.321,0,0.321,0
0.322,0,0.322,1
0.323,1,0.323,1
0.324,0,0.324,0
0.325,1,0.325,0
0.326,2,0.326,2
0.327,0,0.327,1
0.328,2,0.328,1
0.329,0,0.329,1
0.33,2,0.33,0
0.331,2,0.331,0
0.332,0,0.332,3
0.333,0,0.333,0
0.334,0,0.334,3
0.335,0,0.335,0
0.336,0,0.336,0
0.337,1,0.337,0
0.338,0,0.338,0
0.339,0,0.339,0
0.34,0,0.34,0
0.341,0,0.341,0
0.342,0,0.342,1
0.343,16,0.343,1
0.344,0,0.344,0
0.345,1,0.345,0
0.346,2,0.346,2
0.347,0,0.347,1
0.348,2,0.348,1
0.349,9,0.349,1
0.35,2,0.35,0
0.351,3,0.351,0
0.352,0,0.352,3
0.353,0,0.353,0
0.354,1,0.354,3
0.355,0,0.355,0
0.356,0,0.356,0
0.357,0,0.357,0
0.358,0,0.358,0
0.359,0,0.359,0
0.36,0,0.36,1
0.361,0,0.361,0
0.362,0,0.362,1
0.363,1,0.363,1
0.364,0,0.364,0
0.365,1,0.365,0
0.366,2,0.366,2
0.367,0,0.367,1
0.368,2,0.368,1
0.369,0,0.369,1
0.37,2,0.37,0
0.371,2,0.371,0
0.372,0,0.372,2
0.373,0,0.373,0
0.374,0,0.374,3
0.375,0,0.375,0
0.376,0,0.376,0
0.377,0,0.377,0
0.378,0,0.378,0
0.379,0,0.379,0
0.38,0,0.38,0
0.381,0,0.381,0
0.382,0,0.382,1
0.383,1,0.383,1
0.384,0,0.384,0
0.385,1,0.385,0
0.386,2,0.386,2
0.387,0,0.387,1
0.388,2,0.388,1
0.389,0,0.389,1
0.39,2,0.39,0
0.391,2,0.391,0
0.392,0,0.392,3
0.393,1,0.393,0
0.394,0,0.394,3
0.395,0,0.395,0
0.396,0,0.396,0
0.397,0,0.397,0
0.398,0,0.398,0
0.399,1,0.399,0
0.4,0,0.4,0
0.401,0,0.401,0
0.402,0,0.402,1
0.403,1,0.403,1
0.404,0,0.404,0
0.405,12,0.405,0
0.406,2,0.406,2
0.407,0,0.407,1
0.408,2,0.408,1
0.409,1,0.409,1
0.41,2,0.41,0
0.411,2,0.411,0
0.412,0,0.412,3
0.413,0,0.413,0
0.414,0,0.414,3
0.415,0,0.415,1
0.416,0,0.416,0
0.417,0,0.417,0
0.418,0,0.418,0
0.419,0,0.419,0
0.42,0,0.42,0
0.421,0,0.421,0
0.422,0,0.422,1
0.423,0,0.423,1
0.424,0,0.424,0
0.425,1,0.425,0
0.426,2,0.426,2
0.427,0,0.427,1
0.428,2,0.428,1
0.429,0,0.429,1
0.43,2,0.43,0
0.431,2,0.431,0
0.432,0,0.432,3
0.433,0,0.433,0
0.434,0,0.434,3
0.435,0,0.435,0
0.436,0,0.436,0
0.437,0,0.437,0
0.438,0,0.438,0
0.439,0,0.439,0
0.44,0,0.44,0
0.441,0,0.441,0
0.442,0,0.442,1
0.443,0,0.443,1
0.444,0,0.444,0
0.445,2,0.445,0
0.446,2,0.446,2
0.447,0,0.447,1
0.448,2,0.448,1
0.449,1,0.449,1
0.45,2,0.45,0
0.451,19,0.451,0
0.452,0,0.452,3
0.453,0,0.453,0
0.454,1,0.454,3
0.455,0,0.455,0
0.456,0,0.456,0
0.457,0,0.457,0
0.458,0,0.458,0
0.459,0,0.459,0
0.46,1,0.46,0
0.461,0,0.461,0
0.462,0,0.462,1
0.463,0,0.463,1
0.464,0,0.464,0
0.465,2,0.465,0
0.466,2,0.466,2
0.467,0,0.467,1
0.468,2,0.468,1
0.469,1,0.469,1
0.47,2,0.47,0
0.471,2,0.471,0
0.472,0,0.472,2
0.473,0,0.473,0
0.474,0,0.474,3
0.475,0,0.475,1
0.476,0,0.476,0
0.477,0,0.477,0
0.478,0,0.478,0
0.479,0,0.479,0
0.48,0,0.48,0
0.481,0,0.481,0
0.482,0,0.482,1
0.483,1,0.483,1
0.484,0,0.484,0
0.485,1,0.485,0
0.486,2,0.486,2
0.487,0,0.487,1
0.488,2,0.488,1
0.489,0,0.489,1
0.49,2,0.49,0
0.491,1,0.491,0
0.492,0,0.492,3
0.493,0,0.493,0
0.494,0,0.494,3
0.495,0,0.495,0
0.496,0,0.496,0
0.497,0,0.497,0
0.498,0,0.498,0
0.499,0,0.499,0
0.5,0,0.5,0
0.501,0,0.501,0
0.502,0,0.502,1
0.503,1,0.503,1
0.504,0,0.504,0
0.505,1,0.505,0
0.506,2,0.506,2
0.507,0,0.507,1
0.508,2,0.508,1
0.509,0,0.509,1
0.51,2,0.51,0
0.511,2,0.511,0
0.512,0,0.512,3
0.513,0,0.513,0
0.514,1,0.514,3
0.515,0,0.515,0
0.516,0,0.516,0
0.517,0,0.517,0
0.518,0,0.518,0
0.519,1,0.519,0
0.52,0,0.52,1
0.521,0,0.521,0
0.522,0,0.522,1
0.523,1,0.523,1
0.524,0,0.524,0
0.525,6,0.525,0
0.526,2,0.526,2
0.527,0,0.527,1
0.528,2,0.528,1
0.529,0,0.529,1
0.53,2,0.53,0
0.531,5,0.531,0
0.532,0,0.532,2
0.533,0,0.533,0
0.534,0,0.534,3
0.535,0,0.535,0
0.536,1,0.536,0
0.537,0,0.537,0
0.538,0,0.538,0
0.539,0,0.539,0
0.54,0,0.54,0
0.541,0,0.541,0
0.542,4,0.542,1
0.543,1,0.543,1
0.544,0,0.544,0
0.545,1,0.545,0
0.546,2,0.546,2
0.547,0,0.547,1
0.548,2,0.548,2
0.549,0,0.549,1
0.55,2,0.55,0
0.551,3,0.551,0
0.552,0,0.552,3
0.553,0,0.553,0
0.554,0,0.554,3
0.555,0,0.555,0
0.556,0,0.556,0
0.557,0,0.557,0
0.558,0,0.558,0
0.559,0,0.559,0
0.56,0,0.56,0
0.561,0,0.561,0
0.562,0,0.562,1
0.563,1,0.563,1
0.564,0,0.564,0
0.565,1,0.565,0
0.566,2,0.566,2
0.567,0,0.567,1
0.568,2,0.568,1
0.569,0,0.569,1
0.57,2,0.57,0
0.571,1,0.571,0
0.572,0,0.572,3
0.573,0,0.573,0
0.574,0,0.574,3
0.575,0,0.575,0
0.576,0,0.576,0
0.577,0,0.577,0
0.578,0,0.578,0
0.579,0,0.579,0
0.58,0,0.58,0
0.581,0,0.581,0
0.582,1,0.582,1
0.583,1,0.583,1
0.584,0,0.584,0
0.585,1,0.585,0
0.586,2,0.586,2
0.587,1,0.587,1
0.588,7,0.588,1
0.589,0,0.589,1
0.59,2,0.59,0
0.591,1,0.591,0
0.592,0,0.592,3
0.593,1,0.593,1
0.594,12,0.594,3
0.595,0,0.595,0
0.596,0,0.596,0
0.597,0,0.597,0
0.598,0,0.598,0
0.599,0,0.599,0
0.6,0,0.6,2
0.601,0,0.601,0
0.602,0,0.602,1
0.603,1,0.603,1
0.604,0,0.604,0
0.605,1,0.605,0
0.606,2,0.606,2
0.607,0,0.607,1
0.608,2,0.608,1
0.609,1,0.609,1
0.61,2,0.61,0
0.611,2,0.611,0
0.612,0,0.612,1
0.613,0,0.613,0
0.614,0,0.614,3
0.615,0,0.615,0
0.616,0,0.616,0
0.617,0,0.617,0
0.618,0,0.618,0
0.619,0,0.619,0
0.62,0,0.62,0
0.621,0,0.621,0
0.622,0,0.622,1
0.623,1,0.623,1
0.624,0,0.624,0
0.625,1,0.625,0
0.626,2,0.626,2
0.627,0,0.627,1
0.628,2,0.628,1
0.629,0,0.629,1
0.63,2,0.63,0
0.631,3,0.631,0
0.632,0,0.632,3
0.633,0,0.633,0
0.634,1,0.634,3
0.635,0,0.635,0
0.636,0,0.636,0
0.637,0,0.637,0
0.638,0,0.638,0
0.639,1,0.639,0
0.64,8,0.64,1
0.641,0,0.641,0
0.642,0,0.642,1
0.643,1,0.643,1
0.644,0,0.644,0
0.645,14,0.645,0
0.646,2,0.646,3
0.647,0,0.647,1
0.648,2,0.648,1
0.649,0,0.649,2
0.65,2,0.65,0
0.651,1,0.651,0
0.652,0,0.652,2
0.653,0,0.653,0
0.654,0,0.654,2
0.655,0,0.655,1
0.656,0,0.656,0
0.657,0,0.657,0
0.658,0,0.658,0
0.659,0,0.659,0
0.66,0,0.66,0
0.661,0,0.661,0
0.662,0,0.662,1
0.663,1,0.663,1
0.664,0,0.664,0
0.665,1,0.665,0
0.666,2,0.666,2
0.667,0,0.667,1
0.668,2,0.668,1
0.669,1,0.669,1
0.67,2,0.67,0
0.671,2,0.671,0
0.672,0,0.672,3
0.673,0,0.673,0
0.674,0,0.674,3
0.675,0,0.675,1
0.676,0,0.676,0
0.677,0,0.677,0
0.678,0,0.678,0
0.679,0,0.679,0
0.68,0,0.68,0
0.681,0,0.681,0
0.682,0,0.682,1
0.683,1,0.683,1
0.684,0,0.684,0
0.685,1,0.685,0
0.686,2,0.686,2
0.687,0,0.687,1
0.688,2,0.688,1
0.689,0,0.689,1
0.69,2,0.69,0
0.691,2,0.691,0
0.692,0,0.692,3
0.693,0,0.693,0
0.694,0,0.694,3
0.695,0,0.695,0
0.696,0,0.696,0
0.697,0,0.697,0
0.698,0,0.698,0
0.699,0,0.699,0
0.7,0,0.7,0
0.701,0,0.701,0
0.702,0,0.702,1
0.703,1,0.703,1
0.704,0,0.704,0
0.705,1,0.705,0
0.706,2,0.706,2
0.707,0,0.707,1
0.708,2,0.708,1
0.709,0,0.709,1
0.71,2,0.71,0
0.711,2,0.711,0
0.712,0,0.712,3
0.713,0,0.713,0
0.714,1,0.714,3
0.715,0,0.715,0
0.716,0,0.716,0
0.717,0,0.717,0
0.718,0,0.718,0
0.719,0,0.719,0
0.72,0,0.72,1
0.721,0,0.721,0
0.722,0,0.722,1
0.723,1,0.723,1
0.724,0,0.724,0
0.725,1,0.725,0
0.726,2,0.726,2
0.727,0,0.727,1
0.728,2,0.728,1
0.729,0,0.729,1
0.73,2,0.73,0
0.731,3,0.731,0
0.732,0,0.732,2
0.733,0,0.733,0
0.734,0,0.734,3
0.735,0,0.735,0
0.736,0,0.736,0
0.737,0,0.737,0
0.738,0,0.738,0
0.739,0,0.739,0
0.74,0,0.74,0
0.741,0,0.741,0
0.742,0,0.742,1
0.743,1,0.743,1
0.744,0,0.744,0
0.745,1,0.745,0
0.746,2,0.746,2
0.747,0,0.747,1
0.748,2,0.748,1
0.749,0,0.749,1
0.75,2,0.75,0
0.751,2,0.751,0
0.752,0,0.752,3
0.753,0,0.753,0
0.754,0,0.754,3
0.755,0,0.755,0
0.756,0,0.756,0
0.757,0,0.757,0
0.758,0,0.758,0
0.759,1,0.759,0
0.76,0,0.76,0
0.761,0,0.761,0
0.762,0,0.762,1
0.763,1,0.763,1
0.764,0,0.764,0
0.765,10,0.765,0
0.766,2,0.766,2
0.767,0,0.767,1
0.768,2,0.768,1
0.769,0,0.769,2
0.77,2,0.77,0
0.771,3,0.771,0
0.772,0,0.772,3
0.773,0,0.773,0
0.774,0,0.774,3
0.775,0,0.775,0
0.776,0,0.776,0
0.777,9,0.777,0
0.778,0,0.778,0
0.779,0,0.779,0
0.78,0,0.78,1
0.781,0,0.781,0
0.782,1,0.782,1
0.783,1,0.783,1
0.784,0,0.784,0
0.785,1,0.785,0
0.786,2,0.786,2
0.787,0,0.787,1
0.788,2,0.788,1
0.789,1,0.789,1
0.79,2,0.79,0
0.791,3,0.791,0
0.792,0,0.792,2
0.793,0,0.793,0
0.794,0,0.794,2
0.795,2,0.795,0
0.796,0,0.796,0
0.797,0,0.797,0
0.798,0,0.798,0
0.799,0,0.799,0
0.8,0,0.8,0
0.801,0,0.801,0
0.802,0,0.802,1
0.803,1,0.803,1
0.804,0,0.804,0
0.805,1,0.805,0
0.806,2,0.806,2
0.807,0,0.807,1
0.808,3,0.808,1
0.809,1,0.809,2
0.81,2,0.81,0
0.811,2,0.811,0
0.812,0,0.812,3
0.813,0,0.813,0
0.814,1,0.814,3
0.815,0,0.815,0
0.816,0,0.816,0
0.817,0,0.817,0
0.818,0,0.818,0
0.819,0,0.819,0
0.82,0,0.82,1
0.821,0,0.821,0
0.822,0,0.822,1
0.823,1,0.823,1
0.824,0,0.824,0
0.825,1,0.825,0
0.826,2,0.826,2
0.827,0,0.827,1
0.828,2,0.828,1
0.829,0,0.829,1
0.83,2,0.83,0
0.831,1,0.831,0
0.832,0,0.832,2
0.833,0,0.833,0
0.834,0,0.834,3
0.835,0,0.835,0
0.836,0,0.836,0
0.837,0,0.837,0
0.838,0,0.838,0
0.839,0,0.839,0
0.84,0,0.84,0
0.841,0,0.841,0
0.842,0,0.842,1
0.843,1,0.843,1
0.844,0,0.844,0
0.845,1,0.845,0
0.846,2,0.846,2
0.847,0,0.847,1
0.848,3,0.848,1
0.849,0,0.849,2
0.85,2,0.85,0
0.851,1,0.851,0
0.852,0,0.852,3
0.853,1,0.853,0
0.854,0,0.854,3
0.855,0,0.855,0
0.856,0,0.856,0
0.857,0,0.857,0
0.858,1,0.858,0
0.859,1,0.859,0
0.86,0,0.86,0
0.861,0,0.861,0
0.862,0,0.862,1
0.863,1,0.863,1
0.864,0,0.864,0
0.865,6,0.865,0
0.866,2,0.866,2
0.867,0,0.867,1
0.868,2,0.868,1
0.869,0,0.869,1
0.87,3,0.87,0
0.871,2,0.871,0
0.872,0,0.872,3
0.873,0,0.873,0
0.874,0,0.874,3
0.875,1,0.875,0
0.876,2,0.876,0
0.877,0,0.877,0
0.878,0,0.878,0
0.879,0,0.879,0
0.88,0,0.88,0
0.881,2,0.881,0
0.882,0,0.882,1
0.883,1,0.883,1
0.884,0,0.884,0
0.885,1,0.885,0
0.886,2,0.886,2
0.887,0,0.887,1
0.888,3,0.888,1
0.889,1,0.889,1
0.89,2,0.89,0
0.891,3,0.891,0
0.892,0,0.892,3
0.893,0,0.893,0
0.894,0,0.894,3
0.895,0,0.895,1
0.896,0,0.896,0
0.897,0,0.897,0
0.898,0,0.898,0
0.899,0,0.899,0
0.9,0,0.9,0
0.901,0,0.901,0
0.902,0,0.902,1
0.903,1,0.903,1
0.904,0,0.904,0
0.905,1,0.905,0
0.906,2,0.906,2
0.907,0,0.907,1
0.908,2,0.908,1
0.909,0,0.909,2
0.91,2,0.91,0
0.911,2,0.911,0
0.912,0,0.912,3
0.913,0,0.913,0
0.914,0,0.914,3
0.915,0,0.915,0
0.916,0,0.916,0
0.917,0,0.917,0
0.918,0,0.918,0
0.919,0,0.919,0
0.92,0,0.92,0
0.921,0,0.921,0
0.922,0,0.922,1
0.923,1,0.923,1
0.924,0,0.924,0
0.925,1,0.925,0
0.926,2,0.926,2
0.927,0,0.927,1
0.928,2,0.928,1
0.929,0,0.929,1
0.93,2,0.93,0
0.931,3,0.931,0
0.932,0,0.932,3
0.933,0,0.933,0
0.934,1,0.934,3
0.935,0,0.935,0
0.936,0,0.936,0
0.937,0,0.937,0
0.938,0,0.938,0
0.939,0,0.939,0
0.94,0,0.94,2
0.941,0,0.941,0
0.942,0,0.942,1
0.943,1,0.943,1
0.944,0,0.944,0
0.945,1,0.945,0
0.946,2,0.946,2
0.947,0,0.947,1
0.948,3,0.948,1
0.949,0,0.949,1
0.95,2,0.95,0
0.951,1,0.951,0
0.952,0,0.952,1
0.953,0,0.953,0
0.954,1,0.954,2
0.955,0,0.955,0
0.956,0,0.956,0
0.957,0,0.957,0
0.958,0,0.958,0
0.959,0,0.959,0
0.96,0,0.96,0
0.961,0,0.961,0
0.962,0,0.962,1
0.963,1,0.963,1
0.964,0,0.964,0
0.965,1,0.965,0
0.966,2,0.966,2
0.967,0,0.967,1
0.968,2,0.968,1
0.969,0,0.969,1
0.97,2,0.97,0
0.971,1,0.971,0
0.972,0,0.972,3
0.973,0,0.973,0
0.974,0,0.974,3
0.975,0,0.975,0
0.976,0,0.976,0
0.977,0,0.977,0
0.978,0,0.978,0
0.979,1,0.979,0
0.98,0,0.98,0
0.981,0,0.981,0
0.982,0,0.982,1
0.983,1,0.983,1
0.984,0,0.984,0
0.985,10,0.985,0
0.986,2,0.986,2
0.987,0,0.987,1
0.988,2,0.988,1
0.989,0,0.989,1
0.99,2,0.99,0
0.991,3,0.991,0
0.992,0,0.992,3
0.993,0,0.993,0
0.994,0,0.994,3
0.995,0,0.995,0
0.996,1,0.996,0
0.997,0,0.997,0
0.998,0,0.998,0
0.999,0,0.999,0
1,0,1,0
1.001,0,1.001,0
1.002,8,1.002,1
1.003,1,1.003,1
1.004,0,1.004,0
1.005,1,1.005,0
1.006,2,1.006,2
1.007,0,1.007,1
1.008,7,1.008,1
1.009,0,1.009,2
1.01,2,1.01,0
1.011,2,1.011,0
1.012,0,1.012,3
1.013,0,1.013,0
1.014,0,1.014,3
1.015,0,1.015,0
1.016,0,1.016,0
1.017,0,1.017,0
1.018,0,1.018,0
1.019,0,1.019,0
1.02,0,1.02,0
1.021,0,1.021,0
1.022,0,1.022,1
1.023,1,1.023,1
1.024,0,1.024,0
1.025,1,1.025,0
1.026,2,1.026,2
1.027,0,1.027,1
1.028,2,1.028,1
1.029,0,1.029,1
1.03,2,1.03,0
1.031,2,1.031,0
1.032,0,1.032,3
1.033,0,1.033,0
1.034,0,1.034,3
1.035,0,1.035,0
1.036,0,1.036,0
1.037,0,1.037,0
1.038,0,1.038,0
1.039,0,1.039,0
1.04,0,1.04,0
1.041,0,1.041,0
1.042,0,1.042,1
1.043,2,1.043,1
1.044,0,1.044,0
1.045,1,1.045,0
1.046,2,1.046,2
1.047,0,1.047,1
1.048,3,1.048,1
1.049,0,1.049,2
1.05,2,1.05,0
1.051,2,1.051,0
1.052,0,1.052,3
1.053,1,1.053,0
1.054,0,1.054,3
1.055,0,1.055,0
1.056,0,1.056,0
1.057,0,1.057,0
1.058,0,1.058,0
1.059,0,1.059,0
1.06,0,1.06,0
1.061,0,1.061,0
1.062,0,1.062,1
1.063,1,1.063,1
1.064,0,1.064,0
1.065,1,1.065,0
1.066,2,1.066,2
1.067,0,1.067,1
1.068,2,1.068,1
1.069,0,1.069,1
1.07,2,1.07,0
1.071,2,1.071,0
1.072,0,1.072,3
1.073,0,1.073,0
1.074,0,1.074,3
1.075,0,1.075,0
1.076,0,1.076,0
1.077,0,1.077,0
1.078,0,1.078,0
1.079,0,1.079,0
1.08,0,1.08,0
1.081,0,1.081,0
1.082,0,1.082,1
1.083,1,1.083,1
1.084,0,1.084,0
1.085,1,1.085,0
1.086,2,1.086,2
1.087,0,1.087,1
1.088,3,1.088,1
1.089,0,1.089,1
1.09,2,1.09,0
1.091,2,1.091,0
1.092,0,1.092,3
1.093,1,1.093,0
1.094,0,1.094,3
1.095,0,1.095,0
1.096,0,1.096,0
1.097,0,1.097,0
1.098,0,1.098,0
1.099,11,1.099,0
1.1,0,1.1,0
1.101,0,1.101,0
1.102,0,1.102,1
1.103,1,1.103,1
1.104,0,1.104,0
1.105,12,1.105,0
1.106,2,1.106,2
1.107,0,1.107,1
1.108,2,1.108,1
1.109,0,1.109,2
1.11,3,1.11,0
1.111,2,1.111,0
1.112,0,1.112,3
1.113,0,1.113,0
1.114,0,1.114,3
1.115,1,1.115,0
1.116,4,1.116,0
1.117,0,1.117,0
1.118,0,1.118,0
1.119,0,1.119,0
1.12,0,1.12,0
1.121,0,1.121,0
1.122,0,1.122,1
1.123,1,1.123,1
1.124,0,1.124,0
1.125,1,1.125,0
1.126,2,1.126,2
1.127,0,1.127,1
1.128,2,1.128,1
1.129,1,1.129,1
1.13,2,1.13,0
1.131,1,1.131,0
1.132,0,1.132,3
1.133,0,1.133,0
1.134,0,1.134,3
1.135,0,1.135,1
1.136,0,1.136,0
1.137,0,1.137,0
1.138,0,1.138,0
1.139,0,1.139,0
1.14,0,1.14,0
