Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-masterEnb1 #comment:- Number of resource block (values in blocks) by Enb1 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-secondaryGnb1 #comment:- Number of resource block (values in blocks) by Gnb1 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-masterEnb2  #comment:- Number of resource block (values in blocks) by Enb2 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-secondaryGnb2   #comment:- Number of resource block (values in blocks) by Gnb2 in downlink with total reource blocks=50.
0.046,0,0.046,0,0.046,0,0.046,0
0.047,0,0.047,0,0.047,0,0.047,0
0.048,0,0.048,0,0.048,0,0.048,0
0.049,0,0.049,0,0.049,0,0.049,0
0.05,0,0.05,0,0.05,0,0.05,0
0.051,1,0.051,0,0.051,0,0.051,0
0.052,0,0.052,2,0.052,0,0.052,0
0.053,1,0.053,2,0.053,0,0.053,0
0.054,1,0.054,2,0.054,0,0.054,0
0.055,1,0.055,0,0.055,0,0.055,0
0.056,1,0.056,1,0.056,0,0.056,0
0.057,0,0.057,0,0.057,0,0.057,0
0.058,0,0.058,0,0.058,0,0.058,0
0.059,1,0.059,0,0.059,0,0.059,0
0.06,1,0.06,1,0.06,0,0.06,0
0.061,0,0.061,0,0.061,0,0.061,0
0.062,0,0.062,0,0.062,0,0.062,0
0.063,0,0.063,0,0.063,0,0.063,0
0.064,0,0.064,0,0.064,0,0.064,0
0.065,0,0.065,0,0.065,0,0.065,0
0.066,0,0.066,0,0.066,0,0.066,0
0.067,0,0.067,0,0.067,0,0.067,0
0.068,0,0.068,0,0.068,0,0.068,0
0.069,0,0.069,0,0.069,0,0.069,0
0.07,0,0.07,0,0.07,0,0.07,0
0.071,1,0.071,0,0.071,0,0.071,0
0.072,0,0.072,2,0.072,0,0.072,0
0.073,1,0.073,2,0.073,0,0.073,0
0.074,1,0.074,2,0.074,0,0.074,0
0.075,1,0.075,0,0.075,0,0.075,0
0.076,1,0.076,1,0.076,0,0.076,0
0.077,0,0.077,0,0.077,0,0.077,0
0.078,0,0.078,1,0.078,0,0.078,0
0.079,1,0.079,0,0.079,0,0.079,0
0.08,2,0.08,1,0.08,0,0.08,0
0.081,0,0.081,0,0.081,0,0.081,0
0.082,0,0.082,0,0.082,0,0.082,0
0.083,0,0.083,0,0.083,6,0.083,0
0.084,0,0.084,0,0.084,9,0.084,0
0.085,0,0.085,0,0.085,3,0.085,0
0.086,0,0.086,0,0.086,0,0.086,0
0.087,0,0.087,0,0.087,0,0.087,0
0.088,0,0.088,0,0.088,0,0.088,0
0.089,0,0.089,0,0.089,0,0.089,0
0.09,0,0.09,0,0.09,0,0.09,0
0.091,1,0.091,0,0.091,0,0.091,0
0.092,0,0.092,2,0.092,1,0.092,0
0.093,1,0.093,2,0.093,0,0.093,0
0.094,1,0.094,2,0.094,1,0.094,0
0.095,1,0.095,0,0.095,1,0.095,0
0.096,1,0.096,1,0.096,0,0.096,0
0.097,0,0.097,0,0.097,1,0.097,0
0.098,0,0.098,1,0.098,0,0.098,0
0.099,1,0.099,1,0.099,1,0.099,0
0.1,2,0.1,0,0.1,1,0.1,0
0.101,0,0.101,0,0.101,0,0.101,0
0.102,0,0.102,0,0.102,0,0.102,0
0.103,0,0.103,0,0.103,0,0.103,0
0.104,0,0.104,0,0.104,0,0.104,0
0.105,0,0.105,0,0.105,0,0.105,0
0.106,0,0.106,0,0.106,0,0.106,0
0.107,0,0.107,0,0.107,0,0.107,0
0.108,0,0.108,0,0.108,0,0.108,0
0.109,0,0.109,0,0.109,0,0.109,0
0.11,0,0.11,0,0.11,0,0.11,0
0.111,1,0.111,0,0.111,0,0.111,0
0.112,0,0.112,2,0.112,1,0.112,0
0.113,1,0.113,2,0.113,0,0.113,0
0.114,1,0.114,2,0.114,1,0.114,0
0.115,1,0.115,0,0.115,1,0.115,0
0.116,1,0.116,1,0.116,0,0.116,0
0.117,0,0.117,0,0.117,1,0.117,0
0.118,0,0.118,1,0.118,0,0.118,0
0.119,1,0.119,1,0.119,1,0.119,0
0.12,2,0.12,0,0.12,1,0.12,0
0.121,0,0.121,0,0.121,0,0.121,0
0.122,0,0.122,0,0.122,0,0.122,0
0.123,0,0.123,0,0.123,0,0.123,0
0.124,0,0.124,0,0.124,0,0.124,0
0.125,0,0.125,0,0.125,0,0.125,0
0.126,0,0.126,0,0.126,0,0.126,0
0.127,0,0.127,0,0.127,0,0.127,0
0.128,0,0.128,0,0.128,0,0.128,0
0.129,0,0.129,0,0.129,0,0.129,0
0.13,0,0.13,0,0.13,0,0.13,0
0.131,1,0.131,0,0.131,0,0.131,0
0.132,0,0.132,2,0.132,1,0.132,0
0.133,1,0.133,2,0.133,0,0.133,0
0.134,1,0.134,2,0.134,1,0.134,0
0.135,1,0.135,0,0.135,1,0.135,0
0.136,1,0.136,1,0.136,0,0.136,0
0.137,0,0.137,0,0.137,1,0.137,0
0.138,0,0.138,1,0.138,0,0.138,0
0.139,1,0.139,1,0.139,1,0.139,0
0.14,2,0.14,1,0.14,1,0.14,0
0.141,0,0.141,0,0.141,0,0.141,0
0.142,0,0.142,0,0.142,0,0.142,0
0.143,0,0.143,0,0.143,0,0.143,0
0.144,0,0.144,0,0.144,0,0.144,0
0.145,0,0.145,0,0.145,0,0.145,0
0.146,0,0.146,0,0.146,0,0.146,0
0.147,0,0.147,0,0.147,0,0.147,0
0.148,0,0.148,0,0.148,0,0.148,0
0.149,0,0.149,0,0.149,0,0.149,0
0.15,0,0.15,0,0.15,0,0.15,0
0.151,1,0.151,0,0.151,0,0.151,0
0.152,0,0.152,2,0.152,1,0.152,0
0.153,1,0.153,2,0.153,0,0.153,0
0.154,1,0.154,2,0.154,1,0.154,0
0.155,1,0.155,0,0.155,1,0.155,0
0.156,1,0.156,1,0.156,0,0.156,0
0.157,0,0.157,0,0.157,1,0.157,0
0.158,0,0.158,1,0.158,0,0.158,0
0.159,1,0.159,1,0.159,1,0.159,0
0.16,2,0.16,0,0.16,1,0.16,0
0.161,0,0.161,0,0.161,0,0.161,0
0.162,0,0.162,0,0.162,0,0.162,0
0.163,0,0.163,0,0.163,0,0.163,0
0.164,0,0.164,0,0.164,0,0.164,0
0.165,0,0.165,0,0.165,0,0.165,0
0.166,0,0.166,0,0.166,0,0.166,0
0.167,0,0.167,0,0.167,0,0.167,0
0.168,0,0.168,0,0.168,0,0.168,0
0.169,0,0.169,0,0.169,0,0.169,0
0.17,0,0.17,0,0.17,0,0.17,0
0.171,1,0.171,0,0.171,0,0.171,0
0.172,0,0.172,2,0.172,1,0.172,0
0.173,1,0.173,2,0.173,0,0.173,0
0.174,1,0.174,2,0.174,2,0.174,0
0.175,1,0.175,0,0.175,1,0.175,0
0.176,1,0.176,1,0.176,0,0.176,0
0.177,0,0.177,0,0.177,1,0.177,0
0.178,0,0.178,1,0.178,0,0.178,0
0.179,1,0.179,1,0.179,1,0.179,0
0.18,2,0.18,0,0.18,1,0.18,0
0.181,0,0.181,0,0.181,0,0.181,0
0.182,0,0.182,0,0.182,0,0.182,0
0.183,0,0.183,0,0.183,0,0.183,0
0.184,0,0.184,0,0.184,0,0.184,0
0.185,0,0.185,0,0.185,0,0.185,0
0.186,0,0.186,0,0.186,0,0.186,0
0.187,0,0.187,0,0.187,0,0.187,0
0.188,0,0.188,0,0.188,0,0.188,0
0.189,0,0.189,0,0.189,0,0.189,0
0.19,0,0.19,0,0.19,0,0.19,0
0.191,1,0.191,0,0.191,0,0.191,0
0.192,0,0.192,2,0.192,1,0.192,0
0.193,1,0.193,2,0.193,0,0.193,0
0.194,1,0.194,2,0.194,1,0.194,0
0.195,1,0.195,0,0.195,1,0.195,0
0.196,1,0.196,1,0.196,0,0.196,0
0.197,0,0.197,0,0.197,1,0.197,0
0.198,0,0.198,1,0.198,0,0.198,0
0.199,1,0.199,1,0.199,1,0.199,0
0.2,2,0.2,0,0.2,1,0.2,0
0.201,0,0.201,0,0.201,0,0.201,0
0.202,0,0.202,0,0.202,0,0.202,0
0.203,0,0.203,0,0.203,0,0.203,0
0.204,0,0.204,0,0.204,0,0.204,0
0.205,0,0.205,0,0.205,0,0.205,0
0.206,0,0.206,0,0.206,0,0.206,0
0.207,0,0.207,0,0.207,0,0.207,0
0.208,0,0.208,0,0.208,0,0.208,0
0.209,0,0.209,0,0.209,0,0.209,0
0.21,0,0.21,0,0.21,0,0.21,0
0.211,1,0.211,0,0.211,0,0.211,0
0.212,0,0.212,2,0.212,1,0.212,0
0.213,1,0.213,2,0.213,0,0.213,0
0.214,1,0.214,2,0.214,1,0.214,0
0.215,1,0.215,0,0.215,1,0.215,0
0.216,1,0.216,1,0.216,0,0.216,0
0.217,0,0.217,0,0.217,1,0.217,0
0.218,0,0.218,1,0.218,0,0.218,0
0.219,2,0.219,1,0.219,1,0.219,0
0.22,2,0.22,0,0.22,1,0.22,0
0.221,0,0.221,0,0.221,0,0.221,0
0.222,0,0.222,0,0.222,0,0.222,0
0.223,0,0.223,0,0.223,0,0.223,0
0.224,0,0.224,0,0.224,0,0.224,0
0.225,0,0.225,0,0.225,0,0.225,0
0.226,0,0.226,0,0.226,0,0.226,0
0.227,0,0.227,0,0.227,0,0.227,0
0.228,0,0.228,0,0.228,0,0.228,0
0.229,0,0.229,0,0.229,0,0.229,0
0.23,0,0.23,0,0.23,0,0.23,0
0.231,1,0.231,0,0.231,0,0.231,0
0.232,0,0.232,2,0.232,1,0.232,0
0.233,1,0.233,2,0.233,0,0.233,0
0.234,1,0.234,2,0.234,1,0.234,0
0.235,1,0.235,0,0.235,1,0.235,0
0.236,1,0.236,1,0.236,0,0.236,0
0.237,0,0.237,0,0.237,1,0.237,0
0.238,0,0.238,1,0.238,0,0.238,0
0.239,1,0.239,1,0.239,1,0.239,0
0.24,2,0.24,1,0.24,1,0.24,0
0.241,0,0.241,0,0.241,0,0.241,0
0.242,0,0.242,0,0.242,0,0.242,0
0.243,0,0.243,0,0.243,0,0.243,0
0.244,0,0.244,0,0.244,0,0.244,0
0.245,0,0.245,0,0.245,0,0.245,0
0.246,1,0.246,0,0.246,0,0.246,0
0.247,0,0.247,0,0.247,0,0.247,0
0.248,0,0.248,0,0.248,0,0.248,0
0.249,0,0.249,0,0.249,0,0.249,0
0.25,0,0.25,0,0.25,0,0.25,0
0.251,1,0.251,0,0.251,0,0.251,0
0.252,0,0.252,2,0.252,1,0.252,0
0.253,1,0.253,2,0.253,0,0.253,0
0.254,1,0.254,2,0.254,1,0.254,0
0.255,1,0.255,0,0.255,1,0.255,0
0.256,1,0.256,1,0.256,0,0.256,0
0.257,0,0.257,0,0.257,1,0.257,0
0.258,0,0.258,1,0.258,0,0.258,0
0.259,1,0.259,1,0.259,1,0.259,0
0.26,2,0.26,0,0.26,1,0.26,0
0.261,0,0.261,0,0.261,0,0.261,0
0.262,0,0.262,0,0.262,0,0.262,0
0.263,0,0.263,0,0.263,0,0.263,0
0.264,0,0.264,0,0.264,0,0.264,0
0.265,0,0.265,0,0.265,0,0.265,0
0.266,0,0.266,0,0.266,0,0.266,0
0.267,0,0.267,0,0.267,0,0.267,0
0.268,0,0.268,0,0.268,0,0.268,0
0.269,0,0.269,0,0.269,0,0.269,0
0.27,0,0.27,0,0.27,0,0.27,0
0.271,1,0.271,0,0.271,0,0.271,0
0.272,0,0.272,2,0.272,1,0.272,0
0.273,1,0.273,2,0.273,0,0.273,0
0.274,1,0.274,2,0.274,1,0.274,0
0.275,1,0.275,0,0.275,1,0.275,0
0.276,1,0.276,1,0.276,0,0.276,0
0.277,0,0.277,0,0.277,1,0.277,0
0.278,0,0.278,1,0.278,0,0.278,0
0.279,1,0.279,1,0.279,1,0.279,0
0.28,2,0.28,0,0.28,1,0.28,0
0.281,0,0.281,0,0.281,0,0.281,0
0.282,0,0.282,0,0.282,0,0.282,0
0.283,0,0.283,0,0.283,0,0.283,0
0.284,0,0.284,0,0.284,0,0.284,0
0.285,0,0.285,0,0.285,0,0.285,0
0.286,0,0.286,0,0.286,0,0.286,0
0.287,0,0.287,0,0.287,0,0.287,0
0.288,0,0.288,0,0.288,0,0.288,0
0.289,0,0.289,0,0.289,0,0.289,0
0.29,0,0.29,0,0.29,0,0.29,0
0.291,1,0.291,0,0.291,0,0.291,0
0.292,0,0.292,2,0.292,1,0.292,0
0.293,1,0.293,2,0.293,0,0.293,0
0.294,1,0.294,2,0.294,1,0.294,0
0.295,1,0.295,0,0.295,1,0.295,0
0.296,1,0.296,1,0.296,0,0.296,0
0.297,0,0.297,0,0.297,1,0.297,0
0.298,0,0.298,1,0.298,0,0.298,0
0.299,1,0.299,1,0.299,1,0.299,0
0.3,2,0.3,0,0.3,1,0.3,0
0.301,0,0.301,0,0.301,0,0.301,0
0.302,0,0.302,0,0.302,0,0.302,0
0.303,0,0.303,0,0.303,0,0.303,0
0.304,0,0.304,0,0.304,0,0.304,0
0.305,0,0.305,0,0.305,0,0.305,0
0.306,0,0.306,0,0.306,0,0.306,0
0.307,0,0.307,0,0.307,0,0.307,0
0.308,0,0.308,0,0.308,0,0.308,0
0.309,0,0.309,0,0.309,0,0.309,0
0.31,0,0.31,0,0.31,0,0.31,0
0.311,1,0.311,0,0.311,0,0.311,0
0.312,0,0.312,2,0.312,1,0.312,0
0.313,1,0.313,2,0.313,0,0.313,0
0.314,1,0.314,2,0.314,1,0.314,0
0.315,1,0.315,0,0.315,1,0.315,0
0.316,1,0.316,1,0.316,0,0.316,0
0.317,0,0.317,0,0.317,1,0.317,0
0.318,0,0.318,1,0.318,0,0.318,0
0.319,1,0.319,1,0.319,1,0.319,0
0.32,2,0.32,0,0.32,1,0.32,0
0.321,0,0.321,0,0.321,0,0.321,0
0.322,0,0.322,0,0.322,0,0.322,0
0.323,0,0.323,0,0.323,0,0.323,0
0.324,0,0.324,0,0.324,0,0.324,0
0.325,0,0.325,0,0.325,0,0.325,0
0.326,0,0.326,0,0.326,0,0.326,0
0.327,0,0.327,0,0.327,0,0.327,0
0.328,0,0.328,0,0.328,0,0.328,0
0.329,0,0.329,0,0.329,0,0.329,0
0.33,0,0.33,0,0.33,0,0.33,0
0.331,1,0.331,0,0.331,0,0.331,0
0.332,0,0.332,2,0.332,1,0.332,0
0.333,1,0.333,2,0.333,0,0.333,0
0.334,1,0.334,2,0.334,2,0.334,0
0.335,1,0.335,0,0.335,1,0.335,0
0.336,1,0.336,1,0.336,0,0.336,0
0.337,0,0.337,0,0.337,1,0.337,0
0.338,0,0.338,1,0.338,0,0.338,0
0.339,1,0.339,1,0.339,1,0.339,0
0.34,1,0.34,0,0.34,1,0.34,0
0.341,0,0.341,0,0.341,0,0.341,0
0.342,0,0.342,0,0.342,0,0.342,0
0.343,0,0.343,0,0.343,0,0.343,0
0.344,0,0.344,0,0.344,0,0.344,0
0.345,0,0.345,0,0.345,0,0.345,0
0.346,0,0.346,0,0.346,0,0.346,0
0.347,0,0.347,0,0.347,0,0.347,0
0.348,0,0.348,0,0.348,0,0.348,0
0.349,0,0.349,0,0.349,0,0.349,0
0.35,0,0.35,0,0.35,0,0.35,0
0.351,1,0.351,0,0.351,0,0.351,0
0.352,0,0.352,2,0.352,1,0.352,0
0.353,1,0.353,2,0.353,0,0.353,0
0.354,1,0.354,2,0.354,1,0.354,0
0.355,1,0.355,0,0.355,1,0.355,0
0.356,1,0.356,1,0.356,0,0.356,0
0.357,0,0.357,0,0.357,1,0.357,0
0.358,0,0.358,1,0.358,0,0.358,0
0.359,2,0.359,1,0.359,1,0.359,0
0.36,2,0.36,0,0.36,1,0.36,0
0.361,0,0.361,0,0.361,0,0.361,0
0.362,0,0.362,0,0.362,0,0.362,0
0.363,0,0.363,0,0.363,0,0.363,0
0.364,0,0.364,0,0.364,0,0.364,0
0.365,0,0.365,0,0.365,0,0.365,0
0.366,0,0.366,0,0.366,0,0.366,0
0.367,0,0.367,0,0.367,0,0.367,0
0.368,0,0.368,0,0.368,0,0.368,0
0.369,0,0.369,0,0.369,0,0.369,0
0.37,0,0.37,0,0.37,0,0.37,0
0.371,1,0.371,0,0.371,0,0.371,0
0.372,0,0.372,2,0.372,1,0.372,0
0.373,1,0.373,2,0.373,0,0.373,0
0.374,1,0.374,2,0.374,1,0.374,0
0.375,1,0.375,0,0.375,1,0.375,0
0.376,1,0.376,1,0.376,0,0.376,0
0.377,0,0.377,0,0.377,1,0.377,0
0.378,0,0.378,1,0.378,0,0.378,0
0.379,2,0.379,1,0.379,1,0.379,0
0.38,2,0.38,0,0.38,1,0.38,0
0.381,0,0.381,0,0.381,0,0.381,0
0.382,0,0.382,0,0.382,0,0.382,0
0.383,0,0.383,0,0.383,0,0.383,0
0.384,0,0.384,0,0.384,0,0.384,0
0.385,0,0.385,0,0.385,0,0.385,0
0.386,0,0.386,0,0.386,0,0.386,0
0.387,0,0.387,0,0.387,0,0.387,0
0.388,0,0.388,0,0.388,0,0.388,0
0.389,0,0.389,0,0.389,0,0.389,0
0.39,0,0.39,0,0.39,0,0.39,0
0.391,1,0.391,0,0.391,0,0.391,0
0.392,0,0.392,2,0.392,1,0.392,0
0.393,1,0.393,2,0.393,0,0.393,0
0.394,1,0.394,2,0.394,1,0.394,0
0.395,1,0.395,0,0.395,1,0.395,0
0.396,1,0.396,1,0.396,0,0.396,0
0.397,0,0.397,0,0.397,1,0.397,0
0.398,0,0.398,1,0.398,0,0.398,0
0.399,1,0.399,1,0.399,1,0.399,0
0.4,2,0.4,0,0.4,1,0.4,0
0.401,0,0.401,0,0.401,0,0.401,0
0.402,0,0.402,0,0.402,0,0.402,0
0.403,0,0.403,0,0.403,0,0.403,0
0.404,0,0.404,0,0.404,0,0.404,0
0.405,0,0.405,0,0.405,0,0.405,0
0.406,0,0.406,0,0.406,0,0.406,0
0.407,0,0.407,0,0.407,0,0.407,0
0.408,0,0.408,0,0.408,0,0.408,0
0.409,0,0.409,0,0.409,0,0.409,0
0.41,0,0.41,0,0.41,0,0.41,0
0.411,1,0.411,0,0.411,0,0.411,0
0.412,0,0.412,2,0.412,1,0.412,0
0.413,1,0.413,2,0.413,0,0.413,0
0.414,1,0.414,2,0.414,1,0.414,0
0.415,1,0.415,0,0.415,1,0.415,0
0.416,1,0.416,1,0.416,0,0.416,0
0.417,0,0.417,0,0.417,1,0.417,0
0.418,0,0.418,1,0.418,0,0.418,0
0.419,1,0.419,1,0.419,1,0.419,0
0.42,2,0.42,0,0.42,1,0.42,0
0.421,0,0.421,0,0.421,0,0.421,0
0.422,0,0.422,0,0.422,0,0.422,0
0.423,0,0.423,0,0.423,0,0.423,0
0.424,0,0.424,0,0.424,0,0.424,0
0.425,0,0.425,0,0.425,0,0.425,0
0.426,0,0.426,0,0.426,0,0.426,0
0.427,0,0.427,0,0.427,0,0.427,0
0.428,0,0.428,0,0.428,0,0.428,0
0.429,0,0.429,0,0.429,0,0.429,0
0.43,0,0.43,0,0.43,0,0.43,0
0.431,1,0.431,0,0.431,0,0.431,0
0.432,0,0.432,2,0.432,1,0.432,0
0.433,1,0.433,2,0.433,0,0.433,0
0.434,1,0.434,2,0.434,1,0.434,0
0.435,1,0.435,0,0.435,1,0.435,0
0.436,1,0.436,1,0.436,0,0.436,0
0.437,0,0.437,0,0.437,1,0.437,0
0.438,0,0.438,1,0.438,0,0.438,0
0.439,2,0.439,1,0.439,1,0.439,0
0.44,2,0.44,0,0.44,1,0.44,0
0.441,0,0.441,0,0.441,0,0.441,0
0.442,1,0.442,0,0.442,0,0.442,0
0.443,0,0.443,0,0.443,0,0.443,0
0.444,0,0.444,0,0.444,0,0.444,0
0.445,0,0.445,0,0.445,0,0.445,0
0.446,0,0.446,0,0.446,0,0.446,0
0.447,0,0.447,0,0.447,0,0.447,0
0.448,0,0.448,0,0.448,0,0.448,0
0.449,0,0.449,0,0.449,0,0.449,0
0.45,0,0.45,0,0.45,0,0.45,0
0.451,1,0.451,0,0.451,0,0.451,0
0.452,0,0.452,2,0.452,1,0.452,0
0.453,1,0.453,2,0.453,0,0.453,0
0.454,1,0.454,2,0.454,1,0.454,0
0.455,1,0.455,0,0.455,1,0.455,0
0.456,1,0.456,1,0.456,0,0.456,0
0.457,0,0.457,0,0.457,1,0.457,0
0.458,0,0.458,1,0.458,0,0.458,0
0.459,1,0.459,1,0.459,1,0.459,0
0.46,2,0.46,1,0.46,1,0.46,0
0.461,0,0.461,0,0.461,0,0.461,0
0.462,1,0.462,0,0.462,0,0.462,0
0.463,0,0.463,0,0.463,0,0.463,0
0.464,0,0.464,0,0.464,0,0.464,0
0.465,0,0.465,0,0.465,0,0.465,0
0.466,0,0.466,0,0.466,1,0.466,0
0.467,0,0.467,0,0.467,0,0.467,0
0.468,0,0.468,0,0.468,0,0.468,0
0.469,0,0.469,0,0.469,0,0.469,0
0.47,0,0.47,0,0.47,0,0.47,0
0.471,1,0.471,0,0.471,0,0.471,0
0.472,0,0.472,2,0.472,1,0.472,0
0.473,1,0.473,2,0.473,0,0.473,0
0.474,1,0.474,2,0.474,1,0.474,0
0.475,1,0.475,0,0.475,1,0.475,0
0.476,1,0.476,1,0.476,0,0.476,0
0.477,0,0.477,0,0.477,1,0.477,0
0.478,0,0.478,1,0.478,0,0.478,0
0.479,1,0.479,1,0.479,1,0.479,0
0.48,2,0.48,1,0.48,1,0.48,0
0.481,0,0.481,0,0.481,0,0.481,0
0.482,1,0.482,0,0.482,0,0.482,0
0.483,0,0.483,0,0.483,0,0.483,0
0.484,0,0.484,0,0.484,0,0.484,0
0.485,0,0.485,0,0.485,0,0.485,0
0.486,0,0.486,0,0.486,1,0.486,0
0.487,0,0.487,0,0.487,0,0.487,0
0.488,0,0.488,0,0.488,0,0.488,0
0.489,0,0.489,0,0.489,0,0.489,0
0.49,0,0.49,0,0.49,0,0.49,0
0.491,1,0.491,0,0.491,0,0.491,0
0.492,0,0.492,2,0.492,1,0.492,0
0.493,1,0.493,2,0.493,0,0.493,0
0.494,1,0.494,2,0.494,1,0.494,0
0.495,1,0.495,0,0.495,1,0.495,0
0.496,1,0.496,1,0.496,0,0.496,0
0.497,0,0.497,0,0.497,1,0.497,0
0.498,0,0.498,1,0.498,0,0.498,0
0.499,1,0.499,1,0.499,1,0.499,0
0.5,2,0.5,1,0.5,1,0.5,0
0.501,0,0.501,0,0.501,1,0.501,0
0.502,1,0.502,0,0.502,0,0.502,0
0.503,0,0.503,0,0.503,0,0.503,0
0.504,0,0.504,0,0.504,0,0.504,0
0.505,1,0.505,0,0.505,0,0.505,0
0.506,1,0.506,1,0.506,0,0.506,0
0.507,0,0.507,0,0.507,0,0.507,0
0.508,0,0.508,0,0.508,0,0.508,0
0.509,0,0.509,0,0.509,0,0.509,0
0.51,0,0.51,0,0.51,0,0.51,0
0.511,1,0.511,0,0.511,0,0.511,0
0.512,0,0.512,3,0.512,1,0.512,0
0.513,1,0.513,2,0.513,0,0.513,0
0.514,1,0.514,2,0.514,1,0.514,0
0.515,2,0.515,0,0.515,1,0.515,0
0.516,1,0.516,1,0.516,0,0.516,0
0.517,0,0.517,0,0.517,1,0.517,0
0.518,0,0.518,1,0.518,0,0.518,0
0.519,1,0.519,0,0.519,1,0.519,0
0.52,1,0.52,0,0.52,1,0.52,0
0.521,0,0.521,0,0.521,0,0.521,0
0.522,0,0.522,0,0.522,0,0.522,0
0.523,0,0.523,0,0.523,0,0.523,0
0.524,0,0.524,0,0.524,0,0.524,0
0.525,0,0.525,0,0.525,0,0.525,0
0.526,0,0.526,0,0.526,0,0.526,0
0.527,0,0.527,0,0.527,0,0.527,0
0.528,0,0.528,0,0.528,0,0.528,0
0.529,0,0.529,0,0.529,0,0.529,0
0.53,0,0.53,0,0.53,0,0.53,0
0.531,1,0.531,0,0.531,0,0.531,0
0.532,0,0.532,2,0.532,1,0.532,0
0.533,1,0.533,2,0.533,0,0.533,0
0.534,1,0.534,2,0.534,1,0.534,0
0.535,2,0.535,0,0.535,1,0.535,0
0.536,1,0.536,1,0.536,0,0.536,0
0.537,0,0.537,0,0.537,1,0.537,0
0.538,0,0.538,1,0.538,0,0.538,0
0.539,1,0.539,1,0.539,1,0.539,0
0.54,2,0.54,1,0.54,1,0.54,0
0.541,0,0.541,0,0.541,0,0.541,0
0.542,0,0.542,0,0.542,0,0.542,0
0.543,0,0.543,0,0.543,0,0.543,0
0.544,0,0.544,0,0.544,0,0.544,0
0.545,0,0.545,0,0.545,1,0.545,0
0.546,0,0.546,0,0.546,0,0.546,0
0.547,0,0.547,0,0.547,0,0.547,0
0.548,0,0.548,0,0.548,0,0.548,0
0.549,0,0.549,0,0.549,0,0.549,0
0.55,0,0.55,0,0.55,0,0.55,0
0.551,1,0.551,0,0.551,0,0.551,0
0.552,0,0.552,2,0.552,1,0.552,0
0.553,1,0.553,2,0.553,0,0.553,0
0.554,1,0.554,2,0.554,1,0.554,0
0.555,2,0.555,0,0.555,1,0.555,0
